127.0.0.1 - - [26/Jan/2024:09:36:33 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:49 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 2765
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:49 +0900] "GET /WebMarket/images/P1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:49 +0900] "GET /WebMarket/images/P1235.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:49 +0900] "GET /WebMarket/images/P1236.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:56 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:34 +0900] "GET /WebMarket/product.jsp?id=P1234 HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:34 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:37 +0900] "POST /WebMarket/addCart.jsp?id=P1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:37 +0900] "GET /WebMarket/product.jsp?id=P1234 HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:37 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:38 +0900] "GET /WebMarket/products.jsp HTTP/1.1" 200 2765
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:39 +0900] "GET /WebMarket/product.jsp?id=P1235 HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:39 +0900] "GET /WebMarket/resources/css/bootstrap.min.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:42 +0900] "POST /WebMarket/addCart.jsp?id=P1235 HTTP/1.1" 302 -
