연번,상호명,업종,완비증명 발급일,지번 주소,도로명 주소,영업장 면적,영업장 층,관할소방서
1,마이홈리빙텔,고시원업,2022-10-06,서울특별시 종로구 운니동 14,서울특별시 종로구 율곡로6길 11,246.76,"지상2,3",종로소방서
2,심플하우스 원룸텔,고시원업,2022-10-05,서울특별시 종로구 낙원동 143,서울특별시 종로구 수표로 118 ,414.74,"지상4,5",종로소방서
3,서울고시원,고시원업,2022-07-11,서울특별시 종로구 명륜4가 188-12,서울특별시 종로구 창경궁로 224,174.49,지상4,종로소방서
4,숭문산업,고시원업,2022-07-01,서울특별시 종로구 숭인동 165,서울특별시 종로구 종로 375,367.69,지상5,종로소방서
5,로얄팰리스,고시원업,2022-01-17,서울특별시 종로구 숭인동 181-25,서울특별시 종로구 종로65길 37,428.39,"지하1/지상1,2,3",종로소방서
6,레지던스Q,고시원업,2021-12-21,서울특별시 종로구 관철동 18-3,서울특별시 종로구 우정국로2길 41,225.36,"지상4,5",종로소방서
7,노탐,고시원업,2021-11-02,서울특별시 종로구 낙원동 6,서울특별시 종로구 삼일대로 440,446.91,"지상6,7,8",종로소방서
8,미르빌딩,고시원업,2021-10-07,서울특별시 종로구 낙원동 15,서울특별시 종로구 삼일대로 446-34,384.28,"지상3,4",종로소방서
9,수안재,고시원업,2021-09-15,서울특별시 종로구 명륜1가 101-1,서울특별시 종로구 성균관로 34,277.28,"지상3,4",종로소방서
10,예일고시원,고시원업,2021-01-22,서울특별시 종로구 숭인동 177-2,서울특별시 종로구 종로 377-3,151.54,지상2,종로소방서
11,이삭리빙텔,고시원업,2020-09-25,서울특별시 종로구 종로3가 132-1,서울특별시 종로구 수표로20길 43,298.71,"지상5,6",종로소방서
12,강호빌딩,고시원업,2020-09-16,서울특별시 종로구 경운동 1-1,서울특별시 종로구 삼일대로32길 22-1,399.9,"지상3,4",종로소방서
13,파인트리하우스,고시원업,2020-08-13,서울특별시 종로구 명륜3가 61-21,서울특별시 종로구 성균관로5길 63,663.24,"지하1/지상1,2,3/옥탑4",종로소방서
14,다솔하우스,고시원업,2020-05-06,서울특별시 종로구 관훈동 198-17,서울특별시 종로구 인사동7길 37,282,지상5/옥탑6,종로소방서
15,심플하우스,고시원업,2020-03-25,서울특별시 종로구 숭인동 1263,서울특별시 종로구 종로 409,491.22,"지상2,3,4,5",종로소방서
16,종각 유스테이,고시원업,2020-02-12,서울특별시 종로구 관철동 256,서울특별시 종로구 우정국로2길 10,377.1,지상3/옥탑4,종로소방서
17,동거동락,고시원업,2020-02-11,서울특별시 종로구 명륜2가 175-1,서울특별시 종로구 창경궁로 248,338.68,"지상2,3,4,5",종로소방서
18,운현고시원,고시원업,2019-12-02,서울특별시 종로구 경운동 1-9,서울특별시 종로구 삼일대로32길 22-4,294,"지상2,3,4",종로소방서
19,주식회사 에스에스디에이,고시원업,2019-09-02,서울특별시 종로구 명륜3가 61-8,서울특별시 종로구 성균관로5길 55-3,803.19,"지상2,3",종로소방서
20,원룸텔경복궁굿스테이,고시원업,2019-08-21,서울특별시 종로구 필운동 278-5,서울특별시 종로구 사직로10길 8,399.02,"지상4,5",종로소방서
21,비엔하우스,고시원업,2019-04-23,서울특별시 종로구 이화동 125,서울특별시 종로구 율곡로17길 7-38,428.64,"지상2,3,4",종로소방서
22,동대문고시원,고시원업,2019-03-21,서울특별시 종로구 창신동 651-16,서울특별시 종로구 창신길 39-7,77.94,지상5,종로소방서
